eidid,eid_name,path_genus,path_species,path_disease,event_location,zoo_origin,zoo_origin_type,path_type,event_date,event_year,event_decade,filename,wildlife_zoonoses
409,HED_409,Unspecified,Unspecified,Unspecified,"Filadelfia/Loma Plata and Buena Vista/Monte Palma, Chaco region, Paraguay",1,2,virus,Jul-95,1995,1990,HED_409.shp,TRUE
417,HED_417,Unspecified,Unspecified,Unspecified,"New South Wales, Australia (near Sydney)",1,3,virus,Jun-97,1997,1990,HED_417.shp,TRUE
418,HED_418,Unspecified,Unspecified,Unspecified,"Democratic Republic of the Congo, Equatorial Province, Basankusu territory, Bolanda or Bokenda village",1,2,virus,20-Aug-70,1970,1970,HED_418.shp,TRUE
419,HED_419,Unspecified,Unspecified,Unspecified,"Marshfield, WI",1,2,virus,26-May-03,2003,2000,HED_419.shp,TRUE
420,HED_420,Unspecified,Unspecified,Unspecified,"Katako-Kombre, Sankuru sub-region, Kasai Oriental",1,2,virus,Feb. 1996,1996,1990,HED_420.shp,TRUE
422,HED_422,Unspecified,Unspecified,Unspecified,Australia (Western Australia and the Northern Territory),1,2,virus,1974,1974,1970,HED_422.shp,TRUE
423,HED_423,Unspecified,Unspecified,Unspecified,"Malaya peninsula, Perak",1,3,virus,Sep-98,1998,1990,HED_423.shp,TRUE
429,HED_429,Unspecified,Unspecified,Unspecified,southwestern Uganda (Rakai District),1,2,virus,May-96,1996,1990,HED_429.shp,TRUE
431,HED_431,Unspecified,Unspecified,Unspecified,Nigeria and Central Africa Republic,1,3,virus,1976,1976,1970,HED_431.shp,TRUE
432,HED_432,Unspecified,Unspecified,Unspecified,Brazil (Bahia),1,3,virus,May-84,1984,1980,HED_432.shp,TRUE
440,HED_440,Unspecified,Unspecified,Unspecified,Melbourne,1,3,virus,1973,1973,1970,HED_440.shp,TRUE
445,HED_445,Unspecified,Unspecified,Unspecified,"Sao Paola, Brazil",1,2,virus,12-Jan-90,1990,1990,HED_445.shp,TRUE
446,HED_446,Unspecified,Unspecified,Unspecified,"Belem, Brazil",1,2,virus,1992,1992,1990,HED_446.shp,TRUE
447,HED_447,Unspecified,Unspecified,Unspecified,"New Haven, CT",1,2,virus,"Aug. 8, 1994",1994,1990,HED_447.shp,TRUE
452,HED_452,Unspecified,Unspecified,Unspecified,"Foshan City, Guangdon Province, China",1,2,virus,2-Nov,2002,2000,HED_452.shp,TRUE
453,HED_453,Unspecified,Unspecified,Unspecified,Baltimore,1,2,virus,circa 1989,1989,1980,HED_453.shp,TRUE
454,HED_454,Unspecified,Unspecified,Unspecified,southeastern Idaho,1,2,virus,17-Sep-78,1978,1970,HED_454.shp,TRUE
458,HED_458,Unspecified,Unspecified,Unspecified,"Nzara Township, Sudan",1,2,virus,27-Jun-76,1976,1970,HED_458.shp,TRUE
463,HED_463,Unspecified,Unspecified,Venezuelan Equine Encephalitis,Venezuela (eastern part of Falcon State),1,3,virus,Apr-95,1995,1990,HED_463.shp,TRUE
465,HED_465,Unspecified,Unspecified,Unspecified,"Queens, NY",1,3,virus,late Aug 1999,1999,1990,HED_465.shp,TRUE
467,HED_467,Unspecified,Unspecified,Unspecified,CA (2 in Southern CA and 1 in SF bay area),1,2,virus,1999,1999,1990,HED_467.shp,TRUE
470,HED_470,Unspecified,Unspecified,Unspecified,"Yambuku near the banks of the Ebola river, Zaire (now Dem Rep Congo)",1,2,virus,1-Sep-76,1976,1970,HED_470.shp,TRUE
